"nerprun","pres","x","y"
"absence",0,275878.459931876,489293.749351435
"absence",0,275961.806365457,489322.880474513
"absence",0,275974.381140999,489299.406224201
"absence",0,276003.648082756,489294.644159296
"absence",0,275992.036717843,489334.993539499
"absence",0,275991.156686365,489341.287973096
"absence",0,277131.325730823,489114.374646563
"absence",0,277056.739131549,489095.112029829
"absence",0,276908.829937776,489121.639906687
"absence",0,276947.197738813,489158.247501133
"absence",0,277011.851824344,489175.210979651
"absence",0,277048.591364506,489189.758797255
"absence",0,277101.086202487,489201.226061372
"absence",0,277124.987565569,489205.860939694
"absence",0,277164.640169053,489201.913810362
"absence",0,277315.347761211,489830.664184035
"absence",0,237298.774972035,583462.026803384
"absence",0,237310.918126031,583466.274821543
"absence",0,237313.146034102,583478.375821759
"absence",0,237342.718537585,583479.730053802
"absence",0,237365.737205565,583505.336052485
"absence",0,237349.694003863,583514.938866129
"absence",0,237343.263003547,583481.047186934
"absence",0,237940.54916018,582453.437285261
"absence",0,244337.837930626,583749.798712266
"absence",0,244503.093586515,583587.934640787
"absence",0,243844.230306686,584285.918174803
"absence",0,243882.004691453,584291.691291924
"absence",0,243824.574389695,584284.76644508
"absence",0,243808.85313698,584335.93357317
"absence",0,244169.560434024,585079.620225622
"absence",0,244157.296238858,585105.832379735
"absence",0,244153.769982393,585111.541881813
"absence",0,241210.917557615,572816.685183821
"absence",0,241217.458476154,572971.244767997
"absence",0,246513.114022214,575016.988924155
"absence",0,246501.76680581,575016.08081711
"absence",0,246491.547695601,575034.796983785
"absence",0,246491.981937492,575030.755764197
"absence",0,246474.944643261,575042.501559102
"absence",0,246446.256296954,574896.390278271
"absence",0,246661.085598533,575305.587835541
"absence",0,246638.426007543,575308.504818686
"absence",0,246629.762873631,575312.18337066
"absence",0,246579.896186413,575316.288107257
"absence",0,246544.301401666,575324.194943177
"absence",0,246464.691137203,575305.913006884
"absence",0,239584.882505849,576366.729246757
"absence",0,239569.212245228,576380.958574143
"absence",0,239464.411109505,576416.286402749
"absence",0,239408.737373096,576423.377002725
"absence",0,239208.191851567,576508.025779796
"absence",0,239205.850003535,576491.164848719
"absence",0,239340.140963487,576557.182566926
"absence",0,239385.85035767,576613.462910581
"absence",0,241260.971591735,572683.90996871
"absence",0,241220.085563011,572686.182032825
"absence",0,241243.19672854,572760.070696881
"absence",0,246499.26120474,574445.643883244
"absence",0,246521.399551072,574438.094522425
"absence",0,246576.459367375,574443.551843486
"absence",0,246579.011266388,574447.241412993
"absence",0,246616.356243943,574448.685937238
"absence",0,246658.510337293,574444.484242415
"absence",0,246703.239306453,574436.770867037
"absence",0,246712.169301094,574482.593765387
"absence",0,246673.568601304,574572.082943093
"absence",0,246653.758050944,574587.080367405
"absence",0,246637.745846284,575472.942130713
"absence",0,246632.918945627,575461.710276008
"absence",0,246616.602102831,575446.596777195
"absence",0,246528.654499495,575422.467665047
"absence",0,246529.075654417,575429.826281297
"absence",0,246501.606476453,575459.723679441
"absence",0,246508.835683266,575466.124843728
"absence",0,246315.999095709,570577.877670108
"absence",0,246305.853313639,570616.027667155
"absence",0,246334.324573021,570647.125922903
"absence",0,246360.767175025,570674.452192367
"absence",0,246428.335511747,570719.864328524
"absence",0,246441.973909596,570777.87727133
"absence",0,246361.149074549,570785.03546281
"absence",0,246326.254168764,570758.997107462
"absence",0,246577.494480003,571129.832263107
"absence",0,246600.13330008,571129.318395278
"absence",0,246615.496504195,571133.155600186
"absence",0,246687.359498743,570989.707546789
"absence",0,246629.994793145,570960.836743116
"absence",0,246571.671026134,570955.546149324
"absence",0,247276.157698744,571991.552840072
"absence",0,247256.973666654,572014.644815281
"absence",0,247316.290294799,572090.115594817
"absence",0,247235.094898303,572137.508637249
"absence",0,247359.112014277,572067.173657525
"absence",0,244136.773724575,571187.526670506
"absence",0,244145.894380837,571180.530038653
"absence",0,244185.893601136,571157.094996271
"absence",0,244204.976687993,571144.117213706
"absence",0,244205.099855304,570985.899506648
"absence",0,244179.172938566,570955.235057443
"absence",0,246706.510959418,571257.261428004
"absence",0,246697.846522159,571214.472732542
"absence",0,246700.823010751,571193.78205598
"absence",0,246726.266900508,571171.551179078
"absence",0,246788.295815951,571087.55654367
"absence",0,242798.317788433,571880.230550307
"absence",0,242807.009388054,571876.255553526
"absence",0,242852.301748147,571902.175371894
"absence",0,242880.310980233,571896.325508391
"absence",0,242910.01777859,571896.512825668
"absence",0,242940.461168777,571893.556302909
"absence",0,242962.584028326,571885.776149367
"absence",0,246979.456836279,576023.376652959
"absence",0,246975.524364477,576020.089202197
"absence",0,246970.655837918,576017.839152112
"absence",0,246966.382724644,576014.281358045
"absence",0,246933.148140409,576017.057228431
"absence",0,246902.477942849,575995.520662426
"absence",0,246841.209300292,575969.867562385
"absence",0,246810.798255072,575988.900850968
"absence",0,246834.662322095,576016.503799589
"absence",0,247176.900138333,576691.625042024
"absence",0,247213.57901816,576703.571818511
"absence",0,247145.835763255,576694.155561531
"absence",0,247306.177168873,577059.136798471
"absence",0,247315.270541918,577013.322199063
"absence",0,247388.033546708,577082.954323345
"absence",0,247401.132576166,577082.162590076
"absence",0,247410.152816848,577075.608601713
"absence",0,247987.732094332,577908.064636615
"absence",0,247980.021008648,577910.518232334
"absence",0,247910.089169033,577912.510998245
"absence",0,247858.948271579,577887.74663109
"absence",0,249016.095973315,579312.07078405
"absence",0,248979.994443945,579305.995577623
"absence",0,248968.71600556,579310.500200002
"absence",0,249000.867981274,579298.992038087
